text,label
IPL matches are so exciting this season,positive
I love watching cricket every evening,positive
The team played brilliantly today,positive
Amazing batting performance by the captain,positive
That six was शानदार,positive
Great teamwork led to victory,positive
The match was thrilling till the last over,positive
Outstanding bowling by the team,positive
Cricket brings so much joy,positive
That was a fantastic chase,positive
The player showed excellent skills,positive
Loved the energy of the crowd,positive
Perfect strategy by the coach,positive
What an incredible match,positive
The team deserves this win,positive
Superb fielding effort,positive
That partnership was amazing,positive
Great sportsmanship displayed today,positive
The performance was top class,positive
Such an entertaining game,positive
The player is in great form,positive
That was a match-winning knock,positive
The atmosphere in the stadium was electric,positive
Amazing comeback by the team,positive
The fans are loving this season,positive
Great captaincy decisions,positive
The match was full of excitement,positive
Excellent execution of plans,positive
The team played with confidence,positive
Such a memorable game,positive
The match was boring and slow,negative
Terrible performance by the team,negative
The batting lineup completely failed,negative
Worst match I have seen,negative
The players looked tired,negative
Poor bowling ruined the game,negative
That was a disappointing loss,negative
The team made too many mistakes,negative
Bad umpiring decisions,negative
The match lacked excitement,negative
The strategy did not work at all,negative
Very frustrating to watch,negative
The team is out of form,negative
The players showed no effort,negative
The match was one-sided,negative
Poor fielding cost the match,negative
The captain made wrong decisions,negative
The game was very dull,negative
The performance was below average,negative
Fans are unhappy with the team,negative
That was a boring innings,negative
The team collapsed under pressure,negative
The match was poorly managed,negative
The players lacked coordination,negative
It was not worth watching,negative
The team disappointed again,negative
The match had too many errors,negative
Very bad gameplay,negative
The performance was weak,negative
The match did not meet expectations,negative
The match is scheduled for tonight,neutral
The team scored 150 runs,neutral
The player hit a century,neutral
The match will start at 7 PM,neutral
The team won the toss,neutral
The match is being played in Mumbai,neutral
The player scored 50 runs,neutral
The team is preparing for the game,neutral
The match is part of the tournament,neutral
The team is practicing today,neutral
The stadium is filled with fans,neutral
The match is live on TV,neutral
The team has strong players,neutral
The match is ongoing,neutral
The score is 120 for 3,neutral
The team is in second position,neutral
The match is important for qualification,neutral
The team is reviewing strategies,neutral
The player is part of the squad,neutral
The match will continue tomorrow,neutral
The team is traveling for the match,neutral
The match is being analyzed,neutral
The team announced the lineup,neutral
The match is trending online,neutral
The team is ready for the game,neutral
The player joined the team,neutral
The match details are updated,neutral
The team is focusing on performance,neutral
The match is organized by IPL,neutral
The team is aiming to win,neutral
The match is part of the schedule,neutral
The team is preparing strategies,neutral
The match is recorded,neutral
The team is discussing tactics,neutral
The match is being broadcasted,neutral
The team is building momentum,neutral
The match is competitive,neutral
The team is improving gradually,neutral
The match is getting attention,neutral